year.month.day;caudal
1982-12-01;238.6015
1983-01-01;260.772666666667
1983-02-01;161.743333333333
1983-03-01;102.03775
1983-04-01;76.3293333333333
1983-05-01;67.7525
1983-06-01;61.724
1983-07-01;59.4615
1983-08-01;53.397
1983-09-01;50.774
1983-10-01;86.5345
1983-11-01;124.586
1983-12-01;174.824
1984-01-01;130.978
1984-02-01;106.3825
1984-03-01;76.529
1984-04-01;54.244
1984-05-01;49.7593333333333
1984-06-01;43.574
1984-07-01;50.4675
1984-08-01;53.2715
1984-09-01;59.335
1984-10-01;93.0155
1984-11-01;236.634666666667
1984-12-01;220.354
1985-01-01;170.3535
1985-02-01;118.147
1985-03-01;132.429
1985-04-01;57.76
1985-05-01;57.884
1985-06-01;57.809
1985-07-01;50.933
1985-08-01;48.082
1985-09-01;45.537
1985-10-01;46.8875
1985-11-01;46.593
1985-12-01;68.858
1986-01-01;64.053
1986-02-01;63.337
1986-03-01;40.788
1986-04-01;37.501
1986-05-01;35.009
1986-06-01;37.585
1986-07-01;37.694
1986-08-01;35.435
1986-09-01;39.949
1986-10-01;49.0715
1986-11-01;67.29
1986-12-01;164.966
1987-01-01;158.456
1987-02-01;107.629
1987-03-01;67.733
1987-04-01;54.975
1987-05-01;48.576
1987-06-01;49.6515
1987-07-01;47.8
1987-08-01;64.189
1987-09-01;57.011
1987-10-01;79.1645
1987-11-01;280.1085
1987-12-01;559.795
1988-01-01;450.146
1988-02-01;238.277666666667
1988-03-01;139.262
1988-04-01;100.9675
1988-05-01;84.348
1988-06-01;76.6765
1988-07-01;52.278
1988-08-01;60.129
1988-09-01;29.321
1988-10-01;58.102
1988-11-01;51.099
1988-12-01;54.7705
1989-01-01;56.769
1989-02-01;60.5555
1989-03-01;47.6575
1989-04-01;40.82
1989-05-01;40.136
1989-06-01;40.035
1989-07-01;37.285
1989-08-01;35.565
1989-09-01;38.128
1989-10-01;61.561
1989-11-01;97.382
1989-12-01;95.076
1990-01-01;77.66
1990-02-01;55.321
1990-03-01;45.268
1990-04-01;33.924
1990-05-01;33.19
1990-06-01;33.4235
1990-07-01;29.354
1990-08-01;27.248
1990-09-01;38.562
1990-10-01;46.045
1990-11-01;39.561
1990-12-01;28.47
1991-01-01;34.2415
1991-02-01;31.35000
1991-03-01;27.561
1991-04-01;25.878
1991-05-01;29.7345
1991-06-01;33.182
1991-07-01;27.569
1991-08-01;29.503
1991-09-01;53.017
1991-10-01;56.54450
1991-11-01;108.747
1991-12-01;142.64500
1992-01-01;168.13850
1992-02-01;98.442
1992-03-01;86.425
1992-04-01;50.823
1992-05-01;54.05
1992-06-01;54.7
1992-07-01;49.745
1992-08-01;43.95000
1992-09-01;46.03000
1992-10-01;109.233
1992-11-01;102.436
1992-12-01;143.2915
1993-01-01;152.9615
1993-02-01;100.936
1993-03-01;88.435
1993-04-01;54.292
1993-05-01;109.795
1993-06-01;68.943
1993-07-01;43.486
1993-08-01;43.492
1993-09-01;48.735
1993-10-01;65.237
1993-11-01;92.308
1993-12-01;95.938
1994-01-01;77.1155
1994-02-01;54.228
1994-03-01;44.33
1994-04-01;38.507
1994-05-01;31.59
1994-06-01;36.163
1994-07-01;35.57
1994-08-01;42.34
1994-09-01;51.29
1994-10-01;43.44
1994-11-01;63.27
1994-12-01;88.495
1995-01-01;64.1285
1995-02-01;42.6335
1995-03-01;31.04
1995-04-01;29.919
1995-05-01;34.043
1995-06-01;32.197
1995-07-01;32.71
1995-08-01;29.748
1995-09-01;24.639
1995-10-01;29.185
1995-11-01;32.133
